category,board,tier,syllabus_code,kahoot_name,kahoot_description_en,tags,source_listing_file
free_showcase,CIE 0580,Core,C1.13,CIE 0580 C1.13 | Percentages | CORE,"Free sample set for C1.13 Percentages. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C113, Percentages, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c1-13-percentages/listing-copy.md
free_showcase,CIE 0580,Core,C1.4,"CIE 0580 C1.4 | Fractions, Decimals and Percentages | CORE","Free sample set for C1.4 Fractions, Decimals and Percentages. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C14, Fractions, Decimals, Percentages, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c1-4-fractions-decimals-and-percentages/listing-copy.md
free_showcase,CIE 0580,Core,C2.5,CIE 0580 C2.5 | Equations | CORE,"Free sample set for C2.5 Equations. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C25, Algebra, Equations, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c2-5-equations/listing-copy.md
free_showcase,CIE 0580,Core,C3.3,CIE 0580 C3.3 | Gradient of Linear Graphs | CORE,"Free sample set for C3.3 Gradient of Linear Graphs. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C33, Graphs, Gradient, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c3-3-gradient-of-linear-graphs/listing-copy.md
free_showcase,CIE 0580,Core,C5.2,CIE 0580 C5.2 | Area and Perimeter | CORE,"Free sample set for C5.2 Area and Perimeter. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C52, Mensuration, Area, Perimeter, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c5-2-area-and-perimeter/listing-copy.md
free_showcase,CIE 0580,Core,C8.1,CIE 0580 C8.1 | Introduction to Probability | CORE,"Free sample set for C8.1 Introduction to Probability. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C81, Probability, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c8-1-introduction-to-probability/listing-copy.md
free_showcase,CIE 0580,Extended,E4.7,CIE 0580 E4.7 | Circle Theorems I | EXTENDED,"Free sample set for E4.7 Circle Theorems I. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E47, Geometry, CircleTheorems, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/e4-7-circle-theorems-i/listing-copy.md
free_showcase,CIE 0580,Extended,E6.2,CIE 0580 E6.2 | Right-Angled Triangles | EXTENDED,"Free sample set for E6.2 Right-Angled Triangles. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E62, Trigonometry, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/e6-2-right-angled-triangles/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F1.2,Edexcel 4MA1 F1.2 | Fractions | FOUNDATION TIER,"Free sample set for F1.2 Fractions. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F12, Fractions, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f1-2-fractions/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F1.6,Edexcel 4MA1 F1.6 | Percentages | FOUNDATION TIER,"Free sample set for F1.6 Percentages. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F16, Percentages, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f1-6-percentages/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F2.4,Edexcel 4MA1 F2.4 | Linear Equations | FOUNDATION TIER,"Free sample set for F2.4 Linear Equations. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F24, Algebra, LinearEquations, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f2-4-linear-equations/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F4.1,"Edexcel 4MA1 F4.1 | Angles, Lines and Triangles | FOUNDATION TIER","Free sample set for F4.1 Angles, Lines and Triangles. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F41, Geometry, Angles, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f4-1-angles-lines-and-triangles/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F6.3,Edexcel 4MA1 F6.3 | Probability | FOUNDATION TIER,"Free sample set for F6.3 Probability. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F63, Probability, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f6-3-probability/listing-copy.md
free_showcase,Edexcel 4MA1,Higher Tier,H2.7,Edexcel 4MA1 H2.7 | Quadratic Equations | Higher Tier,"Free sample set for H2.7 Quadratic Equations. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, HigherTier, H27, Algebra, Quadratics, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/h2-7-quadratic-equations/listing-copy.md
free_showcase,Edexcel 4MA1,Higher Tier,H3.3,Edexcel 4MA1 H3.3 | Graphs | Higher Tier,"Free sample set for H3.3 Graphs. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, HigherTier, H33, Graphs, Functions, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/h3-3-graphs/listing-copy.md
free_showcase,Edexcel 4MA1,Higher Tier,H5.1,Edexcel 4MA1 H5.1 | Vectors | Higher Tier,"Free sample set for H5.1 Vectors. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, HigherTier, H51, Vectors, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/h5-1-vectors/listing-copy.md
course_pack,CIE 0580,Core,C1,CIE 0580 C1 | Number Course Pack | Core Track,"This C1 Number Course Pack includes 16 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C1, CoursePack, Number",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c1-number-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C2,CIE 0580 C2 | Algebra and Graphs Course Pack | Core Track,"This C2 Algebra and Graphs Course Pack includes 9 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C2, CoursePack, AlgebraandGraphs",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c2-algebra-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C3,CIE 0580 C3 | Coordinate Geometry Course Pack | Core Track,"This C3 Coordinate Geometry Course Pack includes 5 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C3, CoursePack, CoordinateGeometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c3-coordinate-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C4,CIE 0580 C4 | Geometry Course Pack | Core Track,"This C4 Geometry Course Pack includes 7 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C4, CoursePack, Geometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c4-geometry-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C5,CIE 0580 C5 | Mensuration Course Pack | Core Track,"This C5 Mensuration Course Pack includes 5 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C5, CoursePack, Mensuration",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c5-mensuration-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C6,CIE 0580 C6 | Trigonometry Course Pack | Core Track,"This C6 Trigonometry Course Pack includes 2 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C6, CoursePack, Trigonometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c6-trigonometry-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C7,CIE 0580 C7 | Transformations and Vectors Course Pack | Core Track,"This C7 Transformations and Vectors Course Pack includes 1 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C7, CoursePack, TransformationsandVectors",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c7-transformations-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C8,CIE 0580 C8 | Probability Course Pack | Core Track,"This C8 Probability Course Pack includes 3 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C8, CoursePack, Probability",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c8-probability-course-pack/listing-copy.md
course_pack,CIE 0580,Core,C9,CIE 0580 C9 | Statistics Course Pack | Core Track,"This C9 Statistics Course Pack includes 4 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C9, CoursePack, Statistics",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/c9-statistics-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E1,CIE 0580 E1 | Number Course Pack | Extended Track,"This E1 Number Course Pack includes 18 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E1, CoursePack, Number",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e1-number-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E2,CIE 0580 E2 | Algebra and Graphs Course Pack | Extended Track,"This E2 Algebra and Graphs Course Pack includes 13 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E2, CoursePack, AlgebraandGraphs",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e2-algebra-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E3,CIE 0580 E3 | Coordinate Geometry Course Pack | Extended Track,"This E3 Coordinate Geometry Course Pack includes 7 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E3, CoursePack, CoordinateGeometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e3-coordinate-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E4,CIE 0580 E4 | Geometry Course Pack | Extended Track,"This E4 Geometry Course Pack includes 8 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E4, CoursePack, Geometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e4-geometry-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E5,CIE 0580 E5 | Mensuration Course Pack | Extended Track,"This E5 Mensuration Course Pack includes 5 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E5, CoursePack, Mensuration",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e5-mensuration-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E6,CIE 0580 E6 | Trigonometry Course Pack | Extended Track,"This E6 Trigonometry Course Pack includes 6 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E6, CoursePack, Trigonometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e6-trigonometry-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E7,CIE 0580 E7 | Transformations and Vectors Course Pack | Extended Track,"This E7 Transformations and Vectors Course Pack includes 4 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E7, CoursePack, TransformationsandVectors",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e7-transformations-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E8,CIE 0580 E8 | Probability Course Pack | Extended Track,"This E8 Probability Course Pack includes 4 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E8, CoursePack, Probability",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e8-probability-course-pack/listing-copy.md
course_pack,CIE 0580,Extended,E9,CIE 0580 E9 | Statistics Course Pack | Extended Track,"This E9 Statistics Course Pack includes 7 micro-topics aligned to the CIE 0580 syllabus. It is designed for structured revision with exam-style progression, misconception checks, and consistent objective-based practice. Suitable for classroom use, homework cycles, and independent IGCSE preparation.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E9, CoursePack, Statistics",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/cie0580/course-packs/e9-statistics-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Foundation Tier,F1,Edexcel 4MA1 F1 | Numbers and the Number System Course Pack | FOUNDATION TIER,"This F1 Numbers and the Number System Course Pack includes 11 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, FoundationTier, F1, CoursePack, NumbersandtheNumberSystem",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/f1-numbers-and-the-number-system-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Foundation Tier,F2,"Edexcel 4MA1 F2 | Equations, Formulae and Identities Course Pack | FOUNDATION TIER","This F2 Equations, Formulae and Identities Course Pack includes 8 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, FoundationTier, F2, CoursePack, EquationsFormulaeandIdentities",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/f2-equations-formulae-and-identities-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Foundation Tier,F3,"Edexcel 4MA1 F3 | Sequences, Functions and Graphs Course Pack | FOUNDATION TIER","This F3 Sequences, Functions and Graphs Course Pack includes 4 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, FoundationTier, F3, CoursePack, SequencesFunctionsandGraphs",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/f3-sequences-functions-and-graphs-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Foundation Tier,F4,Edexcel 4MA1 F4 | Geometry and Trigonometry Course Pack | FOUNDATION TIER,"This F4 Geometry and Trigonometry Course Pack includes 11 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, FoundationTier, F4, CoursePack, GeometryandTrigonometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/f4-geometry-and-trigonometry-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Foundation Tier,F5,Edexcel 4MA1 F5 | Vectors and Transformation Geometry Course Pack | FOUNDATION TIER,"This F5 Vectors and Transformation Geometry Course Pack includes 2 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, FoundationTier, F5, CoursePack, VectorsandTransformationGeometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/f5-vectors-and-transformation-geometry-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Foundation Tier,F6,Edexcel 4MA1 F6 | Statistics and Probability Course Pack | FOUNDATION TIER,"This F6 Statistics and Probability Course Pack includes 3 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, FoundationTier, F6, CoursePack, StatisticsandProbability",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/f6-statistics-and-probability-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Higher Tier,H1,Edexcel 4MA1 H1 | Numbers and the Number System Course Pack | Higher Tier,"This H1 Numbers and the Number System Course Pack includes 11 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, HigherTier, H1, CoursePack, NumbersandtheNumberSystem",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/h1-numbers-and-the-number-system-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Higher Tier,H2,"Edexcel 4MA1 H2 | Equations, Formulae and Identities Course Pack | Higher Tier","This H2 Equations, Formulae and Identities Course Pack includes 8 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, HigherTier, H2, CoursePack, EquationsFormulaeandIdentities",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/h2-equations-formulae-and-identities-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Higher Tier,H3,"Edexcel 4MA1 H3 | Sequences, Functions and Graphs Course Pack | Higher Tier","This H3 Sequences, Functions and Graphs Course Pack includes 4 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, HigherTier, H3, CoursePack, SequencesFunctionsandGraphs",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/h3-sequences-functions-and-graphs-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Higher Tier,H4,Edexcel 4MA1 H4 | Geometry and Trigonometry Course Pack | Higher Tier,"This H4 Geometry and Trigonometry Course Pack includes 11 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, HigherTier, H4, CoursePack, GeometryandTrigonometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/h4-geometry-and-trigonometry-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Higher Tier,H5,Edexcel 4MA1 H5 | Vectors and Transformation Geometry Course Pack | Higher Tier,"This H5 Vectors and Transformation Geometry Course Pack includes 2 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, HigherTier, H5, CoursePack, VectorsandTransformationGeometry",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/h5-vectors-and-transformation-geometry-course-pack/listing-copy.md
course_pack,Edexcel 4MA1,Higher Tier,H6,Edexcel 4MA1 H6 | Statistics and Probability Course Pack | Higher Tier,"This H6 Statistics and Probability Course Pack includes 3 micro-topics aligned to the Edexcel 4MA1 specification. It provides a full topic pathway from core fluency to exam-style applications, with targeted practice for common errors. Ideal for class revision, intervention lessons, and self-study preparation.","Edexcel4MA1, IGCSEMaths, HigherTier, H6, CoursePack, StatisticsandProbability",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/edexcel-4ma1/course-packs/h6-statistics-and-probability-course-pack/listing-copy.md
